game voted	Nombre	Votos	Promedio
game voted	7 Wonders	7	7.285714285714286
game voted	A Game of Thrones: The Board Game (Second Edition)	5	6.4
game voted	Agricola	7	9
game voted	Alhambra	4	7.5
game voted	Android: Netrunner	5	7.8
game voted	Arkham Horror	6	6.833333333333333
game voted	At the Gates of Loyang	3	7
game voted	Bang!	3	6
game voted	Betrayal at House on the Hill	4	6.75
game voted	Blood Bowl: Team Manager – The Card Game	3	8
game voted	Carcassonne	10	7.4
game voted	Carcassonne: Inns & Cathedrals	4	6.75
game voted	Carrera de Mente	3	5
game voted	Caylus	4	8.5
game voted	Chess	3	7.666666666666667
game voted	Citadels	6	7.666666666666667
game voted	Coloretto	3	6.666666666666667
game voted	Cosmic Encounter	4	9.5
game voted	Cyclades	3	6
game voted	Descent: Journeys in the Dark (Second Edition)	4	8
game voted	Discworld: Ankh-Morpork	3	6
game voted	Dixit	8	7.625
game voted	Dominion	8	7.375
game voted	Dominion: Intrigue	3	6.666666666666667
game voted	Elder Sign	4	7.25
game voted	Finca	3	7.666666666666667
game voted	Fluxx	3	7.333333333333333
game voted	Forbidden Island	5	6.6
game voted	Gloom	4	7.5
game voted	Hansa Teutonica	3	7.333333333333333
game voted	Imperios Milenarios	3	8.333333333333334
game voted	Innovation	3	6
game voted	King of Tokyo	6	7.5
game voted	Last Night on Earth: The Zombie Game	5	5.8
game voted	Letter of Marque	3	5.333333333333333
game voted	Libertalia	3	7
game voted	Lords of Waterdeep	6	6.5
game voted	Lost Cities	3	7.666666666666667
game voted	Love Letter	5	7
game voted	Magic: The Gathering	3	5
game voted	Mascarade	3	8.666666666666666
game voted	Memoir '44	3	7.333333333333333
game voted	Merchants & Marauders	3	8
game voted	Mr. Jack Pocket	5	7.2
game voted	Munchkin	6	6
game voted	Pandemic	6	7.5
game voted	Power Grid	3	6
game voted	Puerto Rico	6	8.166666666666666
game voted	Race for the Galaxy	3	5.666666666666667
game voted	Red November	4	8
game voted	Saboteur	6	6.833333333333333
game voted	Saint Petersburg	3	6.666666666666667
game voted	San Juan	3	5.333333333333333
game voted	Shadows over Camelot	3	6.333333333333333
game voted	Small World	7	7.428571428571429
game voted	Smash Up	5	7.6
game voted	Star Fluxx	3	6.333333333333333
game voted	Stone Age	5	8
game voted	T.E.G.: Plan Táctico y Estratégico de la Guerra	5	5.6
game voted	TEG: La Revancha	4	5.75
game voted	Terra Mystica	3	8.333333333333334
game voted	The Castles of Burgundy	3	9
game voted	The Pillars of the Earth	3	7.666666666666667
game voted	The Resistance	5	7
game voted	The Settlers of Catan	9	7.666666666666667
game voted	Ticket to Ride	5	6.4
game voted	Ticket to Ride: Europe	4	7.25
game voted	Trajan	3	9.666666666666666
game voted	Troyes	4	8
game voted	Truco	3	6.666666666666667
game voted	Twilight Struggle	6	8.166666666666666
game voted	Tzolk'in: The Mayan Calendar	4	7.25
game voted	Ubongo Extreme	3	6.666666666666667
game voted	Zombie Dice	3	7
game voted	Zombie Fluxx	3	7
